enforced,isacl,start_id,end_id,type,id
False,False,9,8,GP_LINK,0
,False,8,11,CONTAINS,1
False,False,12,11,GP_LINK,2
,True,7,8,GENERIC_ALL,3
,True,6,8,OWNS,4
,True,6,8,WRITE_OWNER,5
,True,6,8,WRITE_DACL,6
,True,6,8,DC_SYNC,7
,True,6,8,GET_CHANGES,8
,True,6,8,GET_CHANGES_ALL,9
,True,0,8,WRITE_OWNER,10
,True,0,8,WRITE_DACL,11
,True,0,8,DC_SYNC,12
,True,0,8,GET_CHANGES,13
,True,0,8,GET_CHANGES_ALL,14
,True,4,8,GET_CHANGES,15
,True,5,8,GET_CHANGES,16
,True,3,8,GET_CHANGES_ALL,17
,,13,1,MEMBER_OF,18
,,14,1,MEMBER_OF,19
,,15,1,MEMBER_OF,20
,,16,1,MEMBER_OF,21
,,17,1,MEMBER_OF,22
,,18,1,MEMBER_OF,23
,,19,1,MEMBER_OF,24
,,20,1,MEMBER_OF,25
,,21,1,MEMBER_OF,26
,,22,1,MEMBER_OF,27
,,23,1,MEMBER_OF,28
,,24,1,MEMBER_OF,29
,,25,1,MEMBER_OF,30
,,26,1,MEMBER_OF,31
,,27,1,MEMBER_OF,32
,,28,1,MEMBER_OF,33
,,29,1,MEMBER_OF,34
,,30,1,MEMBER_OF,35
,,31,1,MEMBER_OF,36
,,32,1,MEMBER_OF,37
,,33,1,MEMBER_OF,38
,,34,1,MEMBER_OF,39
,,35,1,MEMBER_OF,40
,,36,1,MEMBER_OF,41
,,37,1,MEMBER_OF,42
,,38,1,MEMBER_OF,43
,,39,1,MEMBER_OF,44
,,40,1,MEMBER_OF,45
,,41,1,MEMBER_OF,46
,,42,1,MEMBER_OF,47
,,43,1,MEMBER_OF,48
,,44,1,MEMBER_OF,49
,,45,1,MEMBER_OF,50
,,46,1,MEMBER_OF,51
,,47,1,MEMBER_OF,52
,,48,1,MEMBER_OF,53
,,49,1,MEMBER_OF,54
,,50,1,MEMBER_OF,55
,,51,1,MEMBER_OF,56
,,52,1,MEMBER_OF,57
,,53,1,MEMBER_OF,58
,,54,1,MEMBER_OF,59
,,55,1,MEMBER_OF,60
,,56,1,MEMBER_OF,61
,,57,1,MEMBER_OF,62
,,58,1,MEMBER_OF,63
,,59,1,MEMBER_OF,64
,,60,1,MEMBER_OF,65
,,61,1,MEMBER_OF,66
,,62,1,MEMBER_OF,67
,,63,1,MEMBER_OF,68
,,64,1,MEMBER_OF,69
,,65,1,MEMBER_OF,70
,,66,1,MEMBER_OF,71
,,67,1,MEMBER_OF,72
,,68,1,MEMBER_OF,73
,,69,1,MEMBER_OF,74
,,70,1,MEMBER_OF,75
,,71,1,MEMBER_OF,76
,,72,1,MEMBER_OF,77
,,73,1,MEMBER_OF,78
,,74,1,MEMBER_OF,79
,,75,1,MEMBER_OF,80
,,76,1,MEMBER_OF,81
,,77,1,MEMBER_OF,82
,,78,1,MEMBER_OF,83
,,79,1,MEMBER_OF,84
,,80,1,MEMBER_OF,85
,,81,1,MEMBER_OF,86
,,82,1,MEMBER_OF,87
,,83,1,MEMBER_OF,88
,,84,1,MEMBER_OF,89
,,85,1,MEMBER_OF,90
,,86,1,MEMBER_OF,91
,,87,1,MEMBER_OF,92
,,88,1,MEMBER_OF,93
,,89,1,MEMBER_OF,94
,,90,1,MEMBER_OF,95
,,91,1,MEMBER_OF,96
,,92,1,MEMBER_OF,97
,,93,1,MEMBER_OF,98
,,94,1,MEMBER_OF,99
,,95,1,MEMBER_OF,100
,,96,1,MEMBER_OF,101
,,97,1,MEMBER_OF,102
,,98,1,MEMBER_OF,103
,,99,1,MEMBER_OF,104
,,100,1,MEMBER_OF,105
,,101,1,MEMBER_OF,106
,,102,1,MEMBER_OF,107
,,103,1,MEMBER_OF,108
,,104,1,MEMBER_OF,109
,,105,1,MEMBER_OF,110
,,106,1,MEMBER_OF,111
,,107,1,MEMBER_OF,112
,,108,1,MEMBER_OF,113
,,109,1,MEMBER_OF,114
,,110,1,MEMBER_OF,115
,,111,1,MEMBER_OF,116
,,112,1,MEMBER_OF,117
,,113,1,MEMBER_OF,118
,,114,1,MEMBER_OF,119
,,115,1,MEMBER_OF,120
,,116,1,MEMBER_OF,121
,,117,1,MEMBER_OF,122
,,118,1,MEMBER_OF,123
,,119,1,MEMBER_OF,124
,,120,1,MEMBER_OF,125
,,121,1,MEMBER_OF,126
,,122,1,MEMBER_OF,127
,,123,1,MEMBER_OF,128
,,124,1,MEMBER_OF,129
,,125,1,MEMBER_OF,130
,,126,1,MEMBER_OF,131
,,127,1,MEMBER_OF,132
,,128,1,MEMBER_OF,133
,,129,1,MEMBER_OF,134
,,130,1,MEMBER_OF,135
,,131,1,MEMBER_OF,136
,,132,1,MEMBER_OF,137
,,133,1,MEMBER_OF,138
,,134,1,MEMBER_OF,139
,,135,1,MEMBER_OF,140
,,136,1,MEMBER_OF,141
,,137,1,MEMBER_OF,142
,,138,1,MEMBER_OF,143
,,139,1,MEMBER_OF,144
,,140,1,MEMBER_OF,145
,,141,1,MEMBER_OF,146
,,142,1,MEMBER_OF,147
,,143,1,MEMBER_OF,148
,,144,1,MEMBER_OF,149
,,145,1,MEMBER_OF,150
,,146,1,MEMBER_OF,151
,,147,1,MEMBER_OF,152
,,148,1,MEMBER_OF,153
,,149,1,MEMBER_OF,154
,,150,1,MEMBER_OF,155
,,151,1,MEMBER_OF,156
,,152,1,MEMBER_OF,157
,,153,1,MEMBER_OF,158
,,154,1,MEMBER_OF,159
,,155,1,MEMBER_OF,160
,,156,1,MEMBER_OF,161
,,157,1,MEMBER_OF,162
,,158,1,MEMBER_OF,163
,,159,1,MEMBER_OF,164
,,160,1,MEMBER_OF,165
,,161,1,MEMBER_OF,166
,,162,1,MEMBER_OF,167
,,163,1,MEMBER_OF,168
,,164,1,MEMBER_OF,169
,,165,1,MEMBER_OF,170
,,166,1,MEMBER_OF,171
,,167,1,MEMBER_OF,172
,,168,1,MEMBER_OF,173
,,169,1,MEMBER_OF,174
,,170,1,MEMBER_OF,175
,,171,1,MEMBER_OF,176
,,172,1,MEMBER_OF,177
,,173,1,MEMBER_OF,178
,,174,1,MEMBER_OF,179
,,175,1,MEMBER_OF,180
,,176,1,MEMBER_OF,181
,,177,1,MEMBER_OF,182
,,178,1,MEMBER_OF,183
,,179,1,MEMBER_OF,184
,,180,1,MEMBER_OF,185
,,181,1,MEMBER_OF,186
,,182,1,MEMBER_OF,187
,,183,1,MEMBER_OF,188
,,184,1,MEMBER_OF,189
,,185,1,MEMBER_OF,190
,,186,1,MEMBER_OF,191
,,187,1,MEMBER_OF,192
,,188,1,MEMBER_OF,193
,,189,1,MEMBER_OF,194
,,190,1,MEMBER_OF,195
,,191,1,MEMBER_OF,196
,,192,1,MEMBER_OF,197
,,193,1,MEMBER_OF,198
,,194,1,MEMBER_OF,199
,,195,1,MEMBER_OF,200
,,196,1,MEMBER_OF,201
,,197,1,MEMBER_OF,202
,,198,1,MEMBER_OF,203
,,199,1,MEMBER_OF,204
,,200,1,MEMBER_OF,205
,,201,1,MEMBER_OF,206
